# t_s,ankle_deg,vF_mV,vE_mV,f_DF_Hz,u_DF,f_PF_Hz,u_PF
0.027900,15.364187,26.737087,25.482430,13.573965,0.222587,0.000000,0.000000
0.028050,15.358041,26.733507,25.491168,13.533243,0.221919,0.000000,0.000000
0.028200,15.351427,26.729357,25.499291,13.492643,0.221253,0.000000,0.000000
0.028350,15.344921,26.724642,25.506801,13.452165,0.220590,0.000000,0.000000
0.028500,15.339090,26.719366,25.513704,13.411809,0.219928,0.000000,0.000000
0.028650,15.334474,26.713535,25.520003,13.371574,0.219268,0.000000,0.000000
0.028800,15.331560,26.707152,25.525702,13.331459,0.218610,0.000000,0.000000
0.028950,15.330765,26.700222,25.530807,13.291464,0.217954,0.000000,0.000000
0.029100,15.332420,26.692750,25.535320,13.251590,0.217301,0.000000,0.000000
0.029250,15.336751,26.684740,25.539247,13.211835,0.216649,0.000000,0.000000
0.029400,15.343876,26.676197,25.542591,13.172200,0.215999,0.000000,0.000000
0.029550,15.353798,26.667125,25.545357,13.132683,0.215351,0.000000,0.000000
0.029700,15.366403,26.657528,25.547549,13.093285,0.214705,0.000000,0.000000
0.029850,15.381467,26.647411,25.549171,13.054005,0.214061,0.000000,0.000000
0.030000,15.398666,26.636779,25.550228,13.014843,0.213418,0.000000,0.000000
0.030150,15.417588,26.625636,25.550723,12.975799,0.212778,0.000000,0.000000
0.030300,15.437751,26.613986,25.550660,12.936871,0.212140,0.000000,0.000000
0.030450,15.458624,26.601834,25.550045,12.898061,0.211503,0.000000,0.000000
0.030600,15.479646,26.589183,25.548880,12.859367,0.210869,0.000000,0.000000
0.030750,15.500255,26.576040,25.547171,12.820788,0.210236,0.000000,0.000000
0.030900,15.519908,26.562407,25.544921,12.782326,0.209606,0.000000,0.000000
0.031050,15.538103,26.548289,25.542135,12.743979,0.208977,0.000000,0.000000
0.031200,15.554405,26.533691,25.538817,12.705747,0.208350,0.000000,0.000000
0.031350,15.568465,26.518616,25.534970,12.667630,0.207725,0.000000,0.000000
0.031500,15.580028,26.503070,25.530599,12.629627,0.207102,0.000000,0.000000
0.031650,15.588953,26.487056,25.525708,12.591738,0.206480,0.000000,0.000000
0.031800,15.595211,26.470579,25.520302,12.553963,0.205861,0.000000,0.000000
0.031950,15.598892,26.453643,25.514384,12.516301,0.205243,0.000000,0.000000
0.032100,15.600197,26.436252,25.507958,12.478752,0.204628,0.000000,0.000000
0.032250,15.599432,26.418410,25.501029,12.441316,0.204014,0.000000,0.000000
0.032400,15.596990,26.400122,25.493601,12.403992,0.203402,0.000000,0.000000
0.032550,15.593339,26.381392,25.485677,12.366780,0.202791,0.000000,0.000000
0.032700,15.588995,26.362223,25.477262,12.329680,0.202183,0.000000,0.000000
0.032850,15.584502,26.342621,25.468359,12.292691,0.201576,0.000000,0.000000
