# kaynak veri/kopru/capraz_kontrol.npz; CSV 1/10 seyreltildi, PNG tam cozunurlukten cizildi; voltaj maks fark 0 mV
# dogrulama_capraz.png kaynak verisi
t_ms,v_hoc,v_py,fark_mV
78,-66.406,-66.406,0
78.25,-66.3991,-66.3991,0
78.5,-66.3923,-66.3923,0
78.75,-66.3855,-66.3855,0
79,-66.3787,-66.3787,0
79.25,-66.372,-66.372,0
79.5,-66.3653,-66.3653,0
79.75,-66.3586,-66.3586,0
80,-66.3519,-66.3519,0
80.25,-66.3453,-66.3453,0
80.5,-66.3387,-66.3387,0
80.75,-66.3321,-66.3321,0
81,-66.3256,-66.3256,0
81.25,-66.3191,-66.3191,0
81.5,-66.3126,-66.3126,0
81.75,-66.3061,-66.3061,0
82,-66.2997,-66.2997,0
82.25,-66.2933,-66.2933,0
82.5,-66.2869,-66.2869,0
82.75,-66.2806,-66.2806,0
83,-66.2743,-66.2743,0
83.25,-66.268,-66.268,0
83.5,-66.2617,-66.2617,0
83.75,-66.2555,-66.2555,0
84,-66.2493,-66.2493,0
84.25,-66.2431,-66.2431,0
84.5,-66.2369,-66.2369,0
84.75,-66.2308,-66.2308,0
85,-66.2247,-66.2247,0
85.25,-66.2186,-66.2186,0
85.5,-66.2126,-66.2126,0
85.75,-66.2065,-66.2065,0
86,-66.2005,-66.2005,0
86.25,-66.1946,-66.1946,0
86.5,-66.1886,-66.1886,0
86.75,-66.1827,-66.1827,0
87,-66.1768,-66.1768,0
87.25,-66.1709,-66.1709,0
87.5,-66.1651,-66.1651,0
87.75,-66.1592,-66.1592,0
88,-66.1534,-66.1534,0
88.25,-66.1476,-66.1476,0
88.5,-66.1419,-66.1419,0
88.75,-66.1362,-66.1362,0
89,-66.1305,-66.1305,0
89.25,-66.1248,-66.1248,0
89.5,-66.1191,-66.1191,0
89.75,-66.1135,-66.1135,0
90,-66.1079,-66.1079,0
90.25,-66.1023,-66.1023,0
90.5,-66.0967,-66.0967,0
90.75,-66.0912,-66.0912,0
91,-66.0856,-66.0856,0
91.25,-66.0801,-66.0801,0
91.5,-66.0747,-66.0747,0
91.75,-66.0692,-66.0692,0
92,-66.0638,-66.0638,0
92.25,-66.0584,-66.0584,0
92.5,-66.053,-66.053,0
92.75,-66.0476,-66.0476,0
93,-66.0423,-66.0423,0
93.25,-66.037,-66.037,0
93.5,-66.0317,-66.0317,0
93.75,-66.0264,-66.0264,0
94,-66.0211,-66.0211,0
94.25,-66.0159,-66.0159,0
94.5,-66.0107,-66.0107,0
94.75,-66.0055,-66.0055,0
95,-66.0003,-66.0003,0
95.25,-65.9952,-65.9952,0
95.5,-65.99,-65.99,0
95.75,-65.9849,-65.9849,0
96,-65.9798,-65.9798,0
96.25,-65.9748,-65.9748,0
96.5,-65.9697,-65.9697,0
96.75,-65.9647,-65.9647,0
97,-65.9597,-65.9597,0
97.25,-65.9547,-65.9547,0
97.5,-65.9497,-65.9497,0
97.75,-65.9448,-65.9448,0
