# OpenSim computeMomentArm, model/rat_hindlimb_faz1a.osim, poz cl_grid3d FIX (kalca 39.94 derece); panel b sarma kumesi bosaltilarak olculdu
# dogrulama_momentkolu.png kaynak verisi
panel,x_derece,kas,r_mm
a_diz_suprusu,-128.559,STp,-15.5858
a_diz_suprusu,-128.559,BFp,-13.8834
a_diz_suprusu,-128.559,GP,-12.4757
a_diz_suprusu,-128.559,GA,-9.6545
a_diz_suprusu,-128.559,Pla,-4.0674
a_diz_suprusu,-128.559,MG,-3.3577
a_diz_suprusu,-128.559,LG,-2.9758
a_diz_suprusu,-128.559,Pop,-1.6215
a_diz_suprusu,-127.458,RF,3.5277
a_diz_suprusu,-127.458,VL,3.5705
a_diz_suprusu,-127.458,VI,3.5641
a_diz_suprusu,-127.458,VM,3.5368
a_diz_suprusu,-127.458,SM,-4.1798
a_diz_suprusu,-127.458,STa,-15.7170
a_diz_suprusu,-127.458,STp,-15.5144
a_diz_suprusu,-127.458,BFp,-13.8812
a_diz_suprusu,-127.458,GP,-12.4717
a_diz_suprusu,-127.458,GA,-9.6296
a_diz_suprusu,-127.458,Pla,-4.0812
a_diz_suprusu,-127.458,MG,-3.3724
a_diz_suprusu,-127.458,LG,-2.9934
a_diz_suprusu,-127.458,Pop,-1.6160
a_diz_suprusu,-126.356,RF,3.5585
a_diz_suprusu,-126.356,VL,3.6009
a_diz_suprusu,-126.356,VI,3.5946
a_diz_suprusu,-126.356,VM,3.5675
a_diz_suprusu,-126.356,SM,-4.1358
a_diz_suprusu,-126.356,STa,-15.6885
a_diz_suprusu,-126.356,STp,-15.4402
a_diz_suprusu,-126.356,BFp,-13.8747
a_diz_suprusu,-126.356,GP,-12.4629
a_diz_suprusu,-126.356,GA,-9.6015
a_diz_suprusu,-126.356,Pla,-4.0936
a_diz_suprusu,-126.356,MG,-3.3860
a_diz_suprusu,-126.356,LG,-3.0099
a_diz_suprusu,-126.356,Pop,-1.6114
a_diz_suprusu,-125.254,RF,3.5870
a_diz_suprusu,-125.254,VL,3.6285
a_diz_suprusu,-125.254,VI,3.6224
a_diz_suprusu,-125.254,VM,3.5958
a_diz_suprusu,-125.254,SM,-4.0907
a_diz_suprusu,-125.254,STa,-15.6560
a_diz_suprusu,-125.254,STp,-15.3636
a_diz_suprusu,-125.254,BFp,-13.8641
a_diz_suprusu,-125.254,GP,-12.4495
a_diz_suprusu,-125.254,GA,-9.5706
a_diz_suprusu,-125.254,Pla,-4.1044
a_diz_suprusu,-125.254,MG,-3.3983
a_diz_suprusu,-125.254,LG,-3.0253
a_diz_suprusu,-125.254,Pop,-1.6073
a_diz_suprusu,-124.153,RF,3.6133
a_diz_suprusu,-124.153,VL,3.6535
a_diz_suprusu,-124.153,VI,3.6477
a_diz_suprusu,-124.153,VM,3.6221
a_diz_suprusu,-124.153,SM,-4.0448
a_diz_suprusu,-124.153,STa,-15.6200
a_diz_suprusu,-124.153,STp,-15.2846
a_diz_suprusu,-124.153,BFp,-13.8498
a_diz_suprusu,-124.153,GP,-12.4319
a_diz_suprusu,-124.153,GA,-9.5371
a_diz_suprusu,-124.153,Pla,-4.1137
a_diz_suprusu,-124.153,MG,-3.4092
a_diz_suprusu,-124.153,LG,-3.0393
a_diz_suprusu,-124.153,Pop,-1.6034
a_diz_suprusu,-123.051,RF,3.6377
a_diz_suprusu,-123.051,VL,3.6760
a_diz_suprusu,-123.051,VI,3.6705
a_diz_suprusu,-123.051,VM,3.6461
a_diz_suprusu,-123.051,SM,-3.9984
a_diz_suprusu,-123.051,STa,-15.5807
a_diz_suprusu,-123.051,STp,-15.2036
a_diz_suprusu,-123.051,BFp,-13.8318
a_diz_suprusu,-123.051,GP,-12.4104
a_diz_suprusu,-123.051,GA,-9.5012
a_diz_suprusu,-123.051,Pla,-4.1213
a_diz_suprusu,-123.051,MG,-3.4186
a_diz_suprusu,-123.051,LG,-3.0520
a_diz_suprusu,-123.051,Pop,-1.5994
a_diz_suprusu,-121.949,RF,3.6603
a_diz_suprusu,-121.949,VL,3.6962
a_diz_suprusu,-121.949,VI,3.6911
a_diz_suprusu,-121.949,VM,3.6682
a_diz_suprusu,-121.949,SM,-3.9518
a_diz_suprusu,-121.949,STa,-15.5384
a_diz_suprusu,-121.949,STp,-15.1207
a_diz_suprusu,-121.949,BFp,-13.8105
a_diz_suprusu,-121.949,GP,-12.3854
a_diz_suprusu,-121.949,GA,-9.4634
a_diz_suprusu,-121.949,Pla,-4.1270
a_diz_suprusu,-121.949,MG,-3.4264
a_diz_suprusu,-121.949,LG,-3.0632
a_diz_suprusu,-121.949,Pop,-1.5951
a_diz_suprusu,-120.847,RF,3.6812
a_diz_suprusu,-120.847,VL,3.7141
a_diz_suprusu,-120.847,VI,3.7096
a_diz_suprusu,-120.847,VM,3.6885
a_diz_suprusu,-120.847,SM,-3.9052
a_diz_suprusu,-120.847,STa,-15.4933
a_diz_suprusu,-120.847,STp,-15.0360
a_diz_suprusu,-120.847,BFp,-13.7859
a_diz_suprusu,-120.847,GP,-12.3571
