# Ib surucusu v2 — F(t)/maksF; normalizasyon tabani BAYRAKSIZ bolgeden (dongu %3.5+; kopru penceresi %0-3.4 katı-ayak/kopru artefakt bayragi tasir ve 1.0 asabilir); kuvvet = Fmax·a·fL·fV·cos(alfa); a: stance u_stance_v4 + salinim u_swing_v2; pps kazanci Faz 4 parametresi
gait_pct,BFa_Ib,BFp_Ib,CF_Ib,STp_Ib,STa_Ib,SM_Ib,QF_Ib,TFL_Ib,GMa_Ib,GMe_Ib,GMi_Ib,Pir_Ib,GP_Ib,GA_Ib,AL_Ib,AM_Ib,AB_Ib,Pec_Ib,IP_Ib,OE_Ib,OI_Ib,GS_Ib,GI_Ib,RF_Ib,VL_Ib,VI_Ib,VM_Ib,MG_Ib,LG_Ib,Pla_Ib,Sol_Ib,TA_Ib,EDL_Ib,TP_Ib,FDL_Ib,FHL_Ib,Per_Ib,Pop_Ib
12.0,1.00000,0.84619,0.00000,0.00000,0.80203,0.93426,0.90917,0.00000,0.89600,0.00000,0.00000,1.00000,0.58246,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.89501,0.96632,0.85321,0.89733,0.99015,0.99220,0.98856,0.08745,0.86479,0.00000,0.97549,0.57539,0.00000,0.92491,0.00000,0.73897,0.00000,0.00000
12.5,0.98205,0.79441,0.00000,0.00000,0.75339,0.90193,0.87315,0.00000,0.84915,0.00000,0.00000,0.99101,0.00026,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.85609,0.93972,0.81056,0.87152,0.97910,0.98217,0.97703,0.11630,0.84674,0.00000,0.96116,0.55682,0.00000,0.90108,0.00000,0.70177,0.00000,0.00000
13.0,0.99357,0.77933,0.00000,0.00000,0.73581,0.89373,0.85802,0.00000,0.81887,0.00000,0.00000,0.99761,0.02072,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.83869,0.93509,0.78814,0.85252,0.97874,0.98306,0.97634,0.14915,0.84817,0.00000,0.96098,0.55660,0.00000,0.89649,0.00000,0.67546,0.00000,0.00000
13.5,0.97022,0.72999,0.00000,0.00000,0.69095,0.86099,0.82055,0.00000,0.76581,0.00000,0.00000,0.98589,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.79825,0.90604,0.74439,0.82729,0.96687,0.97211,0.96389,0.18453,0.84386,0.00000,0.95009,0.54875,0.00000,0.88085,0.00000,0.64306,0.00000,0.00000
14.0,0.97455,0.71445,0.00000,0.00000,0.67423,0.85059,0.80190,0.00000,0.72159,0.00000,0.00000,0.98796,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.77700,0.89707,0.71842,0.80680,0.96616,0.97080,0.96101,0.22372,0.85896,0.04290,0.95247,0.56097,0.00000,0.88484,0.00000,0.61899,0.00000,0.00000
14.5,0.93600,0.65870,0.00000,0.00000,0.62518,0.81024,0.75661,0.00000,0.64959,0.00000,0.00000,0.96514,0.00000,0.00000,0.00000,0.01012,0.04275,0.00000,0.00000,0.00000,0.72861,0.85800,0.66784,0.77769,0.94877,0.95253,0.94135,0.24229,0.84931,0.05758,0.93394,0.55250,0.00000,0.86438,0.00000,0.58365,0.00000,0.00000
15.0,0.92794,0.63478,0.00000,0.00000,0.60260,0.79165,0.73042,0.00000,0.59013,0.00000,0.00000,0.95660,0.00000,0.00000,0.00000,0.03930,0.08050,0.00000,0.00000,0.00000,0.69994,0.83979,0.63534,0.75641,0.94099,0.94613,0.93345,0.26439,0.85922,0.08351,0.92997,0.56241,0.00000,0.86320,0.00000,0.55699,0.00000,0.00000
15.5,0.88358,0.57656,0.00000,0.00000,0.55266,0.74782,0.68310,0.00000,0.50635,0.00000,0.00000,0.92516,0.00000,0.00000,0.00000,0.08939,0.12794,0.00000,0.00000,0.00000,0.65003,0.79647,0.58417,0.73061,0.91700,0.92574,0.91176,0.26586,0.84674,0.07565,0.90806,0.55264,0.00000,0.84033,0.00000,0.52226,0.00000,0.00000
16.0,0.87345,0.55419,0.00000,0.00000,0.53256,0.72947,0.65684,0.00000,0.44726,0.00000,0.00000,0.91489,0.00000,0.00000,0.00000,0.11754,0.16210,0.00000,0.00000,0.00000,0.62174,0.77736,0.55256,0.71074,0.90817,0.91857,0.90314,0.27368,0.85502,0.07970,0.90181,0.56005,0.00000,0.83648,0.00000,0.49629,0.00000,0.00000
16.5,0.83069,0.50030,0.00000,0.00000,0.48763,0.68878,0.61276,0.00000,0.37422,0.00000,0.00000,0.88496,0.00000,0.00000,0.00000,0.16217,0.20122,0.00000,0.00000,0.00000,0.57581,0.73640,0.50596,0.68866,0.88427,0.89917,0.88252,0.26380,0.84276,0.05216,0.87957,0.54764,0.00000,0.81229,0.00000,0.46463,0.00000,0.00000
17.0,0.82407,0.48315,0.00000,0.00000,0.47286,0.67375,0.58937,0.00000,0.32431,0.00000,0.00000,0.87639,0.00000,0.00000,0.00000,0.18424,0.22805,0.00000,0.00000,0.00000,0.55109,0.71984,0.47818,0.67117,0.87661,0.89286,0.87477,0.26361,0.85341,0.04208,0.87351,0.55465,0.00000,0.80835,0.00000,0.44067,0.00000,0.00000
17.5,0.78241,0.43362,0.00000,0.00000,0.43218,0.63492,0.54757,0.00000,0.25940,0.00000,0.00000,0.84455,0.00000,0.00000,0.00000,0.21941,0.25731,0.00000,0.00000,0.00000,0.50841,0.67972,0.43560,0.64916,0.85519,0.87056,0.85139,0.25134,0.84390,0.01249,0.84959,0.54347,0.00000,0.78408,0.00000,0.41035,0.00000,0.00000
18.0,0.77096,0.41366,0.00000,0.00000,0.41600,0.61813,0.52335,0.00000,0.20927,0.00000,0.00000,0.83212,0.00000,0.00000,0.00000,0.24024,0.28033,0.00000,0.00000,0.00000,0.48341,0.66051,0.40856,0.63241,0.84469,0.86150,0.84100,0.24526,0.85421,0.00001,0.84088,0.54949,0.00000,0.77782,0.00000,0.38687,0.00000,0.00000
18.5,0.72830,0.36511,0.00000,0.00000,0.37705,0.58147,0.48466,0.00000,0.14366,0.00000,0.00000,0.79909,0.00000,0.00000,0.00000,0.27205,0.30523,0.00000,0.00000,0.00000,0.44426,0.62149,0.37044,0.61251,0.82061,0.83852,0.81704,0.22359,0.84236,0.00000,0.81574,0.53764,0.00000,0.75231,0.00000,0.35882,0.00000,0.00000
19.0,0.71157,0.34186,0.00000,0.00000,0.35893,0.56355,0.46057,0.00000,0.08723,0.00000,0.00000,0.78236,0.00000,0.00000,0.00000,0.29259,0.32630,0.00000,0.00000,0.00000,0.41972,0.60005,0.34500,0.59638,0.80737,0.82666,0.80397,0.20352,0.85325,0.00000,0.80359,0.54449,0.00000,0.74384,0.00000,0.33534,0.00000,0.00000
19.5,0.68275,0.30733,0.00000,0.00000,0.33203,0.53858,0.43200,0.00000,0.02532,0.00000,0.00000,0.75742,0.00000,0.00000,0.00000,0.31586,0.34649,0.00000,0.00000,0.00000,0.39096,0.57149,0.31676,0.57981,0.78861,0.80913,0.78539,0.16458,0.85988,0.00000,0.78361,0.54530,0.00000,0.72718,0.00000,0.31012,0.00000,0.00000
20.0,0.65096,0.27692,0.00000,0.00000,0.30649,0.51831,0.40833,0.00000,0.00000,0.00000,0.00000,0.71741,0.00000,0.00000,0.00000,0.34652,0.38980,0.00000,0.00000,0.00000,0.36527,0.54279,0.29208,0.56384,0.77227,0.79400,0.76920,0.13303,0.86409,0.00000,0.76654,0.54513,0.00000,0.71103,0.00000,0.28842,0.00000,0.00000
20.5,0.62017,0.25102,0.00000,0.00000,0.28329,0.50307,0.38934,0.00000,0.00000,0.00000,0.00000,0.67016,0.00000,0.00000,0.00000,0.38112,0.44661,0.00000,0.00000,0.00000,0.34323,0.51606,0.27108,0.54951,0.75913,0.78211,0.75619,0.11723,0.87432,0.00000,0.75485,0.54997,0.00000,0.69967,0.00000,0.27000,0.00000,0.00000
21.0,0.59029,0.22368,0.00000,0.00000,0.25930,0.48783,0.37090,0.00000,0.00000,0.00000,0.00000,0.62528,0.00000,0.00000,0.00000,0.41224,0.49640,0.00000,0.00000,0.00000,0.32232,0.49011,0.25136,0.53653,0.74526,0.76945,0.74245,0.10925,0.88008,0.00000,0.74268,0.55247,0.00000,0.68594,0.00000,0.25363,0.00000,0.00000
