# u(t) swing v2 — faz1a + smooth .mot; ID(15Hz, kas haric) + SO(min Σa², rijit tendon, fV(vm) Thelen a=1 kapali-form, 7 DOF kisit, rezerv W=1e6; max|rezerv| 0.013 N·mm)
gait_pct,BFa,BFp,CF,STp,STa,SM,QF,TFL,GMa,GMe,GMi,Pir,GP,GA,AL,AM,AB,Pec,IP,OE,OI,GS,GI,RF,VL,VI,VM,MG,LG,Pla,Sol,TA,EDL,TP,FDL,FHL,Per,Pop
88.5,0.04215,0.00295,0.00318,0.00456,0.00000,0.00000,0.00000,0.00000,0.03227,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.03016,0.01641,0.00322,0.00000,0.00000,0.00495,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.01701,0.00000,0.00000,0.04274,0.00077,0.00172,0.00376
89.0,0.04080,0.00313,0.00298,0.00421,0.00000,0.00000,0.00000,0.00000,0.03079,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.02833,0.01644,0.00327,0.00000,0.00000,0.00482,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.01657,0.00000,0.00000,0.04172,0.00074,0.00165,0.00346
89.5,0.03954,0.00330,0.00286,0.00389,0.00000,0.00000,0.00000,0.00000,0.02935,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.02663,0.01645,0.00329,0.00000,0.00000,0.00474,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.01611,0.00000,0.00000,0.04052,0.00072,0.00158,0.00319
90.0,0.03838,0.00346,0.00277,0.00361,0.00000,0.00000,0.00000,0.00000,0.02798,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.02506,0.01647,0.00331,0.00000,0.00000,0.00470,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.01564,0.00000,0.00000,0.03919,0.00069,0.00151,0.00295
90.5,0.03741,0.00357,0.00265,0.00335,0.00000,0.00000,0.00000,0.00000,0.02671,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.02363,0.01653,0.00334,0.00000,0.00000,0.00473,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.01515,0.00000,0.00000,0.03768,0.00066,0.00143,0.00273
91.0,0.03657,0.00342,0.00257,0.00311,0.00000,0.00000,0.00000,0.00000,0.02551,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.02238,0.01660,0.00335,0.00000,0.00000,0.00481,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.01463,0.00000,0.00000,0.03601,0.00062,0.00135,0.00254
91.5,0.03602,0.00317,0.00251,0.00290,0.00000,0.00000,0.00000,0.00000,0.02446,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.02133,0.01681,0.00338,0.00000,0.00000,0.00498,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.01409,0.00000,0.00000,0.03420,0.00059,0.00128,0.00237
92.0,0.03563,0.00290,0.00248,0.00271,0.00000,0.00000,0.00000,0.00000,0.02349,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.02048,0.01704,0.00339,0.00000,0.00000,0.00519,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.01356,0.00000,0.00000,0.03210,0.00055,0.00120,0.00223
92.5,0.03536,0.00263,0.00250,0.00256,0.00000,0.00000,0.00000,0.00000,0.02260,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.01984,0.01730,0.00338,0.00000,0.00000,0.00544,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.01304,0.00000,0.00000,0.02999,0.00051,0.00113,0.00211
93.0,0.03523,0.00234,0.00254,0.00243,0.00000,0.00000,0.00000,0.00000,0.02179,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.01942,0.01759,0.00334,0.00000,0.00000,0.00573,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.01253,0.00000,0.00000,0.02795,0.00047,0.00106,0.00201
93.5,0.03525,0.00204,0.00263,0.00232,0.00000,0.00000,0.00000,0.00000,0.02105,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.01923,0.01791,0.00328,0.00000,0.00000,0.00605,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.01204,0.00000,0.00000,0.02599,0.00044,0.00100,0.00192
94.0,0.03539,0.00173,0.00275,0.00224,0.00000,0.00000,0.00000,0.00000,0.02038,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.01926,0.01827,0.00319,0.00000,0.00000,0.00642,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.01157,0.00000,0.00000,0.02411,0.00040,0.00095,0.00186
94.5,0.03565,0.00141,0.00292,0.00217,0.00000,0.00000,0.00000,0.00000,0.01978,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.01951,0.01867,0.00306,0.00000,0.00000,0.00683,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.01114,0.00000,0.00000,0.02234,0.00037,0.00092,0.00180
95.0,0.03606,0.00108,0.00313,0.00212,0.00000,0.00000,0.00000,0.00000,0.01925,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.01998,0.01911,0.00290,0.00000,0.00000,0.00729,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.01074,0.00000,0.00000,0.02069,0.00034,0.00091,0.00177
95.5,0.03620,0.00073,0.00337,0.00203,0.00000,0.00000,0.00000,0.00000,0.01840,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.02040,0.01950,0.00277,0.00000,0.00001,0.00766,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.01039,0.00000,0.00000,0.01917,0.00031,0.00091,0.00169
96.0,0.03656,0.00037,0.00353,0.00197,0.00000,0.00000,0.00000,0.00000,0.01780,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.02114,0.01985,0.00264,0.00000,0.00001,0.00809,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.01006,0.00000,0.00000,0.01778,0.00029,0.00094,0.00165
96.5,0.03707,0.00000,0.00367,0.00193,0.00000,0.00000,0.00000,0.00000,0.01738,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.02217,0.02022,0.00250,0.00000,0.00000,0.00858,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00972,0.00000,0.00000,0.01653,0.00026,0.00098,0.00162
97.0,0.03725,0.00000,0.00386,0.00112,0.00000,0.00000,0.00000,0.00000,0.01714,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.02382,0.02022,0.00225,0.00000,0.00000,0.01109,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00944,0.00000,0.00000,0.01541,0.00024,0.00104,0.00128
